,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,📊 Pivot1: Pivot_Yearly_Summary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Total_Crimes,Total _Rape_Cases,Kidnapping_And_Abduction_Of_Women_And_Girls,Dowry_Deaths,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,Insult_To_Modesty_Of_Women,Robbery,Cruelty_By_Husband_Or_His_Relatives,Total_Murders,Culpable_Homicide_Not_Amounting_To_Murder,Kidnapping_And_Abduction_Of_Others,Cheating,Hurt_Or_Grievous_Hurt,Causing_Death_By_Negligence,Ipc_Crimes,Violent Crimes,Property Crimes,YoY Change %,,,SUM of Total_Crimes,Year,,,,,,,,
,2001,4899569,16075,14645,6851,34124,9746,19901,49170,36202,3367,7842,44727,271487,57182,1769308,528468,262692,0.00%,,,State/UT,2001,2012,CAGR,,,State/UT,SUM of 2001,SUM of 2012,CAGR
,2002,4928111,16373,14506,6822,33943,10155,18764,49237,35290,3624,7344,46271,265025,64044,1780330,526588,261634,0.58%,,,Andaman & Nicobar Islands,5318,7402,2.79%,,,West Bengal,168725,380315,7.01%
,2003,4817971,15847,13296,6208,32939,12325,17512,50703,32716,4029,6696,47478,261444,60672,1716120,510492,257279,-2.23%,,,Andhra Pradesh,316190,451439,3.01%,,,Tripura,13606,30636,7.00%
,2004,5052367,18233,15578,7026,34567,10001,18458,58121,33608,3935,7749,51939,276868,69423,1832010,552998,273222,4.87%,,,Arunachal Pradesh,30695,39044,2.03%,,,Kerala,239697,357929,3.40%
,2005,5041711,18359,15750,6787,34175,9984,17673,58319,32719,3578,7082,53625,270861,71698,1822602,547359,276662,-0.21%,,,Assam,127767,219739,4.62%,,,Jharkhand,98868,134168,2.58%
,2006,5167620,19348,17414,7618,36617,9966,18456,63128,32481,3535,6577,58076,264748,78513,1878293,557209,288181,2.50%,,,Bihar,264678,381698,3.10%,,,Haryana,117397,171060,3.19%
,2007,5397036,20737,20416,8093,38734,10950,19136,75930,32318,3644,7145,65326,273067,86790,1989673,594275,307273,4.44%,,,Chandigarh,8795,9215,0.39%,,,Chhattisgarh,114920,165528,3.09%
,2008,5641282,21467,22939,8172,40413,12214,20522,81344,32766,3863,7322,66579,284969,92186,2093379,624039,334132,4.53%,,,Chhattisgarh,114920,165528,3.09%,,,Bihar,264678,381698,3.10%
,2009,5710380,21397,25741,8383,38711,11009,22409,89546,32369,3930,8119,72718,279214,98532,2121345,634980,359807,1.22%,,,Dadra & Nagar Haveli,2701,2648,-0.17%,,,Assam,127767,219739,4.62%
,2010,5942451,22172,29795,8391,40613,9961,23393,94041,33335,3782,8645,78999,289022,106343,2224831,665560,372179,4.06%,,,Daman & Diu,4480,4502,0.04%,,,Andhra Pradesh,316190,451439,3.01%
,2011,6168491,24206,35565,8618,42968,8570,24700,99135,34305,3707,9099,87656,302847,108890,2325575,700725,389173,3.80%,,,Delhi,132706,142765,0.61%,,,Andaman & Nicobar Islands,5318,7402,2.79%
,2012,6332530,24923,38262,8233,45351,9173,27343,106527,34434,3620,9330,94203,332324,107591,2387188,745733,405191,2.66%,,,Goa,8684,11240,2.17%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Gujarat,266849,328631,1.75%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Haryana,117397,171060,3.19%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Himachal Pradesh,49011,55294,1.01%,,,,,,
,📊 Pivot2: Pivot_Statewise_Breakdown,,,,,,,,,,,,,KPI - Total Districts,,,,,,,,Jammu & Kashmir,85033,109576,2.14%,,,,,,
,State/UT,Total_Crimes,Total_Murders,Total _Rape_Cases,Kidnapping_And_Abduction_Of_Others,Other_Theft,Robbery,,,,,,,Total_Districts,,,,,,,,Jharkhand,98868,134168,2.58%,,,,,,
,Andaman & Nicobar Islands,66365,160,109,17,1039,74,,,,,,,803,,,,,,,,Karnataka,280191,337894,1.57%,,,,,,
,Andhra Pradesh,4756256,31756,13479,6303,214546,7605,,,,,,,,,,,,,,,Kerala,239697,357929,3.40%,,,📊 Pivot6: Top 10 States's Total_Crimes,,,
,Arunachal Pradesh,422539,841,500,299,4102,843,,,,,,,,,,,,,,,Lakshadweep,2073,2132,0.23%,,,Top 10 States,Total_Crimes,,
,Assam,1897601,15432,16178,5019,69996,7467,,,,,,,,,,,,,,,Madhya Pradesh,459400,547173,1.47%,,,Madhya Pradesh,6062008,,
,Bihar,3750313,41245,13124,17831,119151,23666,,,,,,,KPI - Total_Murders,,,,,,,,Maharashtra,432182,495618,1.15%,,,Maharashtra,5626723,,
,Chandigarh,105659,243,281,106,9279,397,,,,,,,Total_Murders (2001-2012),,,,,,,,Manipur,22970,27423,1.49%,,,Uttar Pradesh,5452897,,
,Chhattisgarh,1631601,12060,11838,715,42678,5113,,,,,,,402543,,,,,,,,Meghalaya,17378,19197,0.83%,,,Tamil Nadu,5037032,,
,Dadra & Nagar Haveli,33380,108,56,47,484,30,,,,,,,,,,,,,,,Mizoram,20497,19628,-0.36%,,,Andhra Pradesh,4756256,,
,Daman & Diu,54051,68,20,16,222,23,,,,,,,KPI - Total_Rapes,,,,,,,,Nagaland,22478,24312,0.66%,,,Rajasthan,4598052,,
,Delhi,1608301,6205,6424,9433,104529,6461,,,,,,,Total Rapes(2001-2012),,,,,,,,Odisha,161334,208247,2.15%,,,Bihar,3750313,,
,Goa,112258,487,350,72,5168,298,,,,,,,239137,,,,,,,,Puducherry,10137,12571,1.81%,,,Karnataka,3735940,,
,Gujarat,3517836,13775,4249,2328,116198,14383,,,,,,,,,,,,,,,Punjab,103488,127732,1.77%,,,Gujarat,3517836,,
,Haryana,1701889,10471,6410,2527,47828,5871,,,,,,,,,,,,,,,Rajasthan,376362,426326,1.04%,,,Kerala,3316608,,
,Himachal Pradesh,638993,1454,1804,257,6706,236,,,,,,,,,,,,,,,Sikkim,8892,9104,0.20%,,,West Bengal,2823643,,
,Jammu & Kashmir,1140418,6304,2810,845,17730,1312,,,,,,,,,,,,,,,Tamil Nadu,385620,479397,1.83%,,,Odisha,2133946,,
,Jharkhand,1446019,19060,9159,3194,52822,8711,,,,,,,,,,,,,,,Tripura,13606,30636,7.00%,,,Assam,1897601,,
,Karnataka,3735940,19937,5174,4714,114516,17287,,,,,,,,,,,,,,,Uttar Pradesh,498291,549030,0.81%,,,Haryana,1701889,,
,Kerala,3316608,4733,7447,993,40887,8329,,,,,,,,,,,,,,,Uttarakhand,42156,43917,0.34%,,,Chhattisgarh,1631601,,
,Lakshadweep,25564,3,7,0,102,0,,,,,,,,,,,,,,,West Bengal,168725,380315,7.01%,,,Delhi,1608301,,
,Madhya Pradesh,6062008,28399,36087,2715,163748,22314,,,,,,,,,,,,,,,,,,,,,Jharkhand,1446019,,
,Maharashtra,5626723,32767,17986,4248,388575,37719,,,,,,,,,,,,,,,,,,,,,Punjab,1372938,,
,Manipur,295775,1955,387,754,2020,83,,,,,,,,,,,,,,,,,,,,,Jammu & Kashmir,1140418,,
,Meghalaya,219023,1730,1020,465,4538,972,,,,,,,,,,,,,,,,,,,,,Himachal Pradesh,638993,,
,Mizoram,244913,403,826,86,9339,114,,,,,,,,,,,,,,,,,,,,,Uttarakhand,519385,,
,Nagaland,279102,1038,220,321,2684,1042,,,,,,,,,,,,,,,,,,,,,Arunachal Pradesh,422539,,
,Odisha,2133946,14453,11430,1438,60266,14705,,,,,,,,,,,,,,,,,,,,,Manipur,295775,,
,Puducherry,146328,357,77,48,2852,89,,,,,,,,,,,,,,,,,,,,,Nagaland,279102,,
,Punjab,1372938,9493,5459,2234,29249,1828,,,,,,,,,,,,,,,Year,SUM of Total_Crimes,,Crime CAGR%,,,Mizoram,244913,,
,Rajasthan,4598052,15844,15798,6056,127617,9071,,,,,,,,,,,,,,,2001,4899569,,2.16%,,,Meghalaya,219023,,
,Sikkim,110312,166,195,14,925,64,,,,,,,,,,,,,,,2002,4928111,,,,,Tripura,215851,,
,Tamil Nadu,5037032,20127,6952,2867,135507,11272,,,,,,,,,,,,,,,2003,4817971,,,,,Puducherry,146328,,
,Tripura,215851,2022,2058,568,4014,777,,,,,,,,,,,,,,,2004,5052367,,,,,Goa,112258,,
,Uttar Pradesh,5452897,65443,19058,11676,165796,30767,,,,,,,,,,,,,,,2005,5041711,,,,,Sikkim,110312,,
,Uttarakhand,519385,2948,1378,518,12643,1990,,,,,,,,,,,,,,,2006,5167620,,,,,Chandigarh,105659,,
,West Bengal,2823643,21056,20787,4226,152404,7354,,,,,,,,,,,,,,,2007,5397036,,,,,Andaman & Nicobar Islands,66365,,
,Grand Total,65099519,402543,239137,92950,2230160,248267,,,,,,,,,,,,,,,2008,5641282,,,,,Daman & Diu,54051,,
,,,,,,,,,,,,,,,,,,,,,,2009,5710380,,,,,Dadra & Nagar Haveli,33380,,
,,,,,,,,,,,,,,,,,,,,,,2010,5942451,,,,,Lakshadweep,25564,,
,,,,,,,,,,,,,,,,,,,,,,2011,6168491,,,,,,,,
,📊 Pivot3: Crime by District,,,,📊 Pivot4: State-wise Crime Trend Over Years,,,,,,,,,,,,,,,,,2012,6332530,,,,,,,,
,District,Total_Crimes,,,SUM of Total_Crimes,Year,,,,,,,,,,,,,,,,Grand Total,65099519,,,,,,,,
,Bengaluru Commr.,722553,,,State/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Grand Total,,,,,,,,,,,,,
,Ahmedabad Commr.,460055,,,Andaman & Nicobar Islands,5318,5220,5294,5504,5374,5364,3621,5780,5900,5980,5608,7402,66365,,,,,,,,,,,,,
,Mumbai Commr.,459121,,,Andhra Pradesh,316190,343273,371979,375624,372384,405989,408371,416771,419116,429204,445916,451439,4756256,,,,,,,,,,,,,
,Indore,432770,,,Arunachal Pradesh,30695,30482,34167,34570,34683,34678,34677,34868,36868,39048,38759,39044,422539,,,,,,,,,,,,,
,Hyderabad City,429930,,,Assam,127767,126728,130445,135427,144137,147514,150762,166832,170874,183624,193752,219739,1897601,,,,,,,,,,,,,
,Bhopal,363181,,,Bihar,264678,275989,272501,304116,283681,289412,307014,333608,334163,343292,360161,381698,3750313,,,,,,,,,,,,,
,Chennai,353010,,,Chandigarh,8795,9613,7614,7780,8269,8255,9293,9866,9116,8750,9093,9215,105659,,,,,,,,,,,,,
,Kolkata,340329,,,Chhattisgarh,114920,113932,116944,123926,129346,132455,133824,145035,144913,152109,158669,165528,1631601,,,,,,,,,,,,,
,Patna,318938,,,Dadra & Nagar Haveli,2701,2700,2679,2822,2873,2876,2857,2810,2893,2766,2755,2648,33380,,,,,,,,,,,,,
,Pune Commr.,303686,,,Daman & Diu,4480,4526,4544,4404,4496,4588,4533,4512,4570,4426,4470,4502,54051,,,,,,,,,,,,,
,Cyberabad,303550,,,Delhi,132706,124233,118737,131159,136032,139798,137992,132702,134586,136723,140868,142765,1608301,,,,,,,,,,,,,
,South,297478,,,Goa,8684,8884,8494,8262,8248,8420,8972,9500,10028,10606,10920,11240,112258,,,,,,,,,,,,,
,Mumbai,293330,,,Gujarat,266849,273398,267494,271043,286963,302112,306590,309850,292634,297180,315092,328631,3517836,,,,,,,,,,,,,
,West,273389,,,Haryana,117397,120182,117094,118127,127295,144926,147082,154607,156359,162212,165548,171060,1701889,,,,,,,,,,,,,
,24 Parganas North,268031,,,Himachal Pradesh,49011,50511,50061,50704,50755,52264,54535,54056,56765,56248,58789,55294,638993,,,,,,,,,,,,,
,Ernakulam Rural,264920,,,Jammu & Kashmir,85033,87982,90538,90478,88350,89718,91054,95424,100202,104736,107327,109576,1140418,,,,,,,,,,,,,
,24 Parganas South,264457,,,Jharkhand,98868,110835,112441,110883,118417,120822,129120,129491,127047,130011,123916,134168,1446019,,,,,,,,,,,,,
,Jabalpur,262906,,,Karnataka,280191,289394,286838,290895,297196,297359,303187,321095,334033,352684,345174,337894,3735940,,,,,,,,,,,,,
,Lucknow,260805,,,Kerala,239697,240428,235686,246111,246637,248499,255036,257117,272634,332585,384249,357929,3316608,,,,,,,,,,,,,
,Gwalior,246375,,,Lakshadweep,2073,2108,2065,2144,2089,2166,2119,2198,2277,2094,2099,2132,25564,,,,,,,,,,,,,
,Nagpur Commr.,232469,,,Madhya Pradesh,459400,479552,484168,495804,480466,491607,507020,519412,521844,534953,540609,547173,6062008,,,,,,,,,,,,,
,Ernakulam Commr.,229587,,,Maharashtra,432182,420743,418498,442469,463972,473522,481324,502572,489314,506501,500008,495618,5626723,,,,,,,,,,,,,
,Alwar,226740,,,Manipur,22970,23178,23101,23104,23871,23795,24435,26566,25606,25334,26392,27423,295775,,,,,,,,,,,,,
,Thane Commr.,224990,,,Meghalaya,17378,17340,17358,17530,17794,17908,18206,18692,18957,19079,19584,19197,219023,,,,,,,,,,,,,
,Thrissur,223068,,,Mizoram,20497,21656,22936,19062,20352,20194,20222,20042,20166,20428,19730,19628,244913,,,,,,,,,,,,,
