State/UT,District,Year,Murder,Attempt_To_Murder,Culpable_Homicide_Not_Amounting_To_Murder,Rape,Kidnapping_And_Abduction_Of_Women_And_Girls,Kidnapping_And_Abduction_Of_Others,Dacoity,Robbery,Burglary,Auto_Theft,Other_Theft,Riots,Criminal_Breach_Of_Trust,Cheating,Counterfieting,Arson,Hurt/Grevious_Hurt,Dowry_Deaths,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,Insult_To_Modesty_Of_Women,Cruelty_By_Husband_Or_His_Relatives,Causing_Death_By_Negligence,Other_Ipc_Crimes,Total_Ipc_Crimes,Total_Crimes
Andaman & Nicobar Islands,Andaman,2001,13,0,0,3,2,0,0,4,62,4,61,13,10,8,2,4,113,0,18,1,9,0,310,637,3275
Andaman & Nicobar Islands,Nicobar,2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,13,21,2043
Andaman & Nicobar Islands,Andaman,2002,14,3,0,1,1,1,1,7,47,2,44,11,4,11,0,2,92,0,16,3,4,0,316,580,3162
Andaman & Nicobar Islands,Nicobar,2002,3,0,1,1,0,0,0,0,2,0,3,0,0,0,0,0,5,0,1,0,0,0,12,28,2058
Andaman & Nicobar Islands,Andaman,2003,16,4,1,2,2,0,1,7,56,3,55,19,1,13,0,7,107,0,9,2,7,0,299,611,3225
Andaman & Nicobar Islands,Nicobar,2003,5,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,3,0,0,0,0,0,19,33,2069
Andaman & Nicobar Islands,Andaman,2004,13,1,2,10,3,0,0,3,67,9,91,9,0,11,0,8,102,0,5,3,5,6,373,721,3446
Andaman & Nicobar Islands,Nicobar,2004,2,0,0,0,0,0,0,0,2,0,3,0,0,1,0,1,3,0,1,0,0,0,14,27,2058
Andaman & Nicobar Islands,Andaman,2005,14,3,3,4,1,1,0,4,67,6,82,4,8,13,0,6,77,0,10,1,5,3,354,666,3337
Andaman & Nicobar Islands,Nicobar,2005,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,1,0,0,0,8,16,2037
Andaman & Nicobar Islands,Andaman,2006,3,4,1,6,5,0,0,5,81,6,94,10,3,15,4,9,73,0,12,4,7,2,311,655,3316
Andaman & Nicobar Islands,Nicobar,2006,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,2,0,0,0,11,21,2048
Andaman & Nicobar Islands,Andaman,2007,15,19,1,3,9,3,5,9,90,8,104,17,7,23,1,11,99,1,21,2,18,4,337,807,3621
Andaman & Nicobar Islands,Andaman,2008,8,10,2,12,13,3,0,14,72,11,114,16,12,19,1,15,105,2,24,3,25,4,374,859,3726
Andaman & Nicobar Islands,Nicobar,2008,0,1,0,0,0,1,0,0,6,0,3,0,0,0,0,0,2,0,0,0,1,0,9,23,2054
Andaman & Nicobar Islands,Andaman,2009,15,4,3,18,14,2,0,11,83,10,124,11,6,19,2,12,87,1,29,7,21,2,440,921,3851
Andaman & Nicobar Islands,Nicobar,2009,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,2,0,1,0,0,0,11,20,2049
Andaman & Nicobar Islands,Andaman,2010,8,7,4,23,8,2,1,7,77,22,94,11,10,56,0,11,77,0,31,10,9,9,479,956,3922
Andaman & Nicobar Islands,Nicobar,2010,1,0,0,1,0,0,0,0,3,0,5,0,0,0,0,1,3,0,0,0,0,0,10,24,2058
